nome_fbref;fbref_id;genero
ABC FC;fadd306a;M
Amazonas FC;3c7dd952;M
América FC (MG);1f68d780;M
América FC (RN);a77bea94;M
Associação Atlética Ponte Preta;b162ebe7;M
Associação Chapecoense de Futebol;baa296ad;M
Associação Desportiva Confiança;e48dfc07;M
Associação Desportiva Recreativa e Cultural Icasa;695e3d7c;M
Associação Ferroviária;935ba2a4;M
Associação Portuguesa de Desportos;cebe6a06;M
Athletic Club;5237f85d;M
Atlético Clube Goianiense;32d508ca;M
Avaí FC;f205258a;M
Boa Esporte Clube;f7a205c2;M
Botafogo–RJ;d9fdd9d9;M
Botafogo–SP;3cc399a5;M
Brasília FC;2f9fda3d;M
Brusque Futebol Clube;b8daef43;M
Ceará SC;2f335e17;M
Centro Sportivo Alagoano;05aff519;M
Club Athletico Paranaense;2091c619;M
Clube Atlético Mineiro;422bb734;M
Clube do Remo;2d4d7b6a;M
Clube Náutico Capibaribe;b5effd9e;M
Coritiba FC;d680d257;M
CR Brasil;7fcb6e83;M
CR Flamengo;639950ae;M
CR Vasco da Gama;83f55dbe;M
Criciúma Esporte Clube;3f7595bb;M
Cruzeiro Esporte Clube;03ff5eeb;M
Cuiabá Esporte Clube;f0e6fb14;M
EC Juventude;d081b697;M
Esporte Clube Bahia;157b7fee;M
Esporte Clube São Bento;ab0835d2;M
Esporte Clube Vitória;33f95fe0;M
Figueirense FC;0ce4436d;M
Fluminense FC;84d9701c;M
Fortaleza Esporte Clube;a9d0ab0e;M
Goiás Esporte Clube;78c617cc;M
Grêmio Esportivo Brasil;d11febf7;M
Grêmio Foot-Ball Porto Alegrense;d5ae3703;M
Grêmio Novorizontino;7a1064a2;M
Guarani FC;341d7cb0;M
Ituano FC;62d22efa;M
Joinville Esporte Clube;da0666a2;M
Londrina Esporte Clube;7886dd6c;M
Luverdense Esporte Clube;e1ad075e;M
Macaé Esporte FC;f430869b;M
Mirassol Futebol Clube;289e8847;M
Mogi Mirim Esporte Clube;8365a0df;M
Oeste FC;4d0b6235;M
Operário Ferroviário Esporte Clube;d2dc922e;M
Paraná Clube;ab17f2e9;M
Paysandu SC;81f8aeb6;M
Red Bull Bragantino;f98930d1;M
Sampaio Corrêa FC;740be0b0;M
Santa Cruz FC (PE);ad0c1246;M
Santos FC;712c528f;M
São Bernardo FC;6bdf6758;M
São Paulo FC;5f232eb1;M
SC Corinthians Paulista;bf4acd28;M
SC Internacional;6f7e1f03;M
SE Palmeiras;abdce579;M
Sport Club do Recife;ece66b78;M
Tombense Futebol Clube;7821139a;M
Tupi Esporte Clube;aa2e6305;M
Vila Nova FC;f050c492;M
Volta Redonda FC;02b8d5d3;M
